Youtuber,Subscribers,Video Views,Uploads,Category,Country,Abbreviation,Lowest Monthly Earnings,Highest Monthly Earnings,Gross Tertiary Education Enrollment (%),Unemployment Rate,Population,Urban Population,Created Year
El Payaso Plim Plim,17700000,17247584185,1316,Film & Animation,Argentina,AR,160000.0,2600000.0,90.0,9.79,44938712,41339571,2013
Lil Pump,17700000,4196061192,60,Music,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2015
Les' Copaque Production,17700000,9059696049,1716,Film & Animation,Malaysia,MY,29400.0,470900.0,45.1,3.32,32447385,24475766,2009
News 24,17700000,8396875537,211620,News & Politics,Ukraine,UA,92700.0,1500000.0,82.7,8.88,44385155,30835699,2006
Porta dos Fundos,17700000,7739048000,2240,Entertainment,Brazil,BR,8800.0,141300.0,51.3,12.08,212559417,183241641,2012
Jane ASMR,17700000,7387621644,1888,Other,South Korea,KR,0.0,0.0,94.3,4.15,51709098,42106719,2012
tanboy kun,17700000,3647267655,739,People & Blogs,Indonesia,ID,12000.0,192700.0,36.3,4.69,270203917,151509724,2016
KIMPRO,17700000,19206701832,1646,Other,South Korea,KR,850900.0,13600000.0,94.3,4.15,51709098,42106719,2017
jaanvi patel,17700000,7912733203,512,People & Blogs,India,IN,86700.0,1400000.0,28.1,5.36,1366417754,471031528,2018
ArianaGrandeVevo,17700000,20115544708,178,Music,United States,US,24400.0,389700.0,88.2,14.7,328239523,270663028,2010
zbing z.,17600000,9269174070,3151,Gaming,Thailand,TH,13800.0,220500.0,49.3,0.75,69625582,35294600,2014
MissaSinfonia,17600000,2274007523,233,Comedy,Mexico,MX,6900.0,109800.0,40.2,3.42,126014024,102626859,2011
Liziqi,17600000,2977741577,128,Howto & Style,China,CN,5600.0,89400.0,50.6,4.32,1397715000,842933962,2017
DeGoBooM,17600000,6306204566,4702,Gaming,Chile,CL,25100.0,400900.0,88.5,7.09,18952038,16610135,2014
JFlaMusic,17600000,3802280098,326,Music,South Korea,KR,2800.0,44400.0,94.3,4.15,51709098,42106719,2011
FactTechz,17500000,2238134438,709,Entertainment,India,IN,5300.0,84200.0,28.1,5.36,1366417754,471031528,2016
News18 India,17500000,7263619576,182742,News & Politics,India,IN,98500.0,1600000.0,28.1,5.36,1366417754,471031528,2007
Fun For Kids TV - Hindi Rhymes,17500000,7612385622,149,Entertainment,India,IN,27500.0,439400.0,28.1,5.36,1366417754,471031528,2017
IGN,17500000,16107116549,156215,Gaming,United States,US,24600.0,393400.0,88.2,14.7,328239523,270663028,2006
Koray Zeynep,17400000,16560557488,2078,People & Blogs,Other,Other,106600.0,1700000.0,63.2,9.3,436369043,226156206,2016
Al-Remas,17400000,11144195464,2133,Music,Iraq,IQ,28300.0,452000.0,16.2,12.82,39309783,27783368,2013
Aphmau,17400000,17763586483,4411,Gaming,United States,US,110000.0,1800000.0,88.2,14.7,328239523,270663028,2012
AMARINTV,17400000,13043561912,118448,Entertainment,Thailand,TH,59000.0,944000.0,49.3,0.75,69625582,35294600,2014
Apple,17300000,1026425106,180,Science & Technology,United States,US,11600.0,185900.0,88.2,14.7,328239523,270663028,2005
Stubborn Facts,17300000,902225615,287,Film & Animation,India,IN,209.0,3400.0,28.1,5.36,1366417754,471031528,2016
Taarak Mehta Ka Ooltah Chashmah,17300000,11371738047,4778,Entertainment,India,IN,83000.0,1300000.0,28.1,5.36,1366417754,471031528,2014
HowToBasic,17300000,3684816159,582,Howto & Style,Australia,AU,3900.0,62100.0,113.1,5.27,25766605,21844756,2011
PopularMMOs,17200000,14573155899,4685,Gaming,Other,Other,3800.0,61200.0,63.2,9.3,436369043,226156206,2012
Marques Brownlee,17200000,3606912471,1567,Science & Technology,United States,US,13100.0,209300.0,88.2,14.7,328239523,270663028,2008
Anitta,17200000,7337212581,138,Music,Brazil,BR,18200.0,290700.0,51.3,12.08,212559417,183241641,2011
Jason Vlogs,17200000,8903647480,83,Education,Australia,AU,0.01,0.1,113.1,5.27,25766605,21844756,2014
El Reino a Jugar,17200000,11445492404,1007,Education,Argentina,AR,20900.0,334800.0,90.0,9.79,44938712,41339571,2015
Willyrex,17200000,5024088947,7550,Gaming,Spain,ES,3900.0,61600.0,88.9,13.96,47076781,37927409,2009
Liza Koshy,17100000,2173106162,142,Comedy,United States,US,440.0,7000.0,88.2,14.7,328239523,270663028,2013
TheBrianMaps,17100000,4448334716,498,Comedy,Russia,RU,9300.0,148700.0,81.9,4.59,144373535,107683889,2012
TRANS TV Official,17100000,9710962528,148225,Entertainment,Indonesia,ID,11500.0,183200.0,36.3,4.69,270203917,151509724,2014
Prajapati News,17000000,1001465469,1407,Comedy,India,IN,1900.0,30500.0,28.1,5.36,1366417754,471031528,2013
Gaby and Alex,17000000,8229883114,1,Entertainment,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2008
LuisFonsiVEVO,17000000,14543594822,97,Music,United States,US,12500.0,199300.0,88.2,14.7,328239523,270663028,2009
Queen Official,17000000,10847948832,1015,Music,United Kingdom,GB,23400.0,375100.0,60.0,3.85,66834405,55908316,2008
Pop Chartbusters,16900000,8684010451,2235,Music,India,IN,18200.0,291600.0,28.1,5.36,1366417754,471031528,2011
Guava Juice,16900000,9111000228,1910,Gaming,United States,US,2700.0,43600.0,88.2,14.7,328239523,270663028,2006
EeOneGuy,16900000,3827906874,366,Entertainment,United States,US,409.0,6500.0,88.2,14.7,328239523,270663028,2013
VICE,16900000,4609753237,3900,Entertainment,United States,US,9100.0,145400.0,88.2,14.7,328239523,270663028,2005
Aayu and Pihu Show,16900000,9270331567,441,Comedy,India,IN,22400.0,359100.0,28.1,5.36,1366417754,471031528,2017
Danny Fitt,16900000,9544277833,2337,People & Blogs,United States,US,68800.0,1100000.0,88.2,14.7,328239523,270663028,2016
Bispo Bruno Leonardo,16900000,3523578665,4891,Nonprofits & Activism,Brazil,BR,37400.0,598200.0,51.3,12.08,212559417,183241641,2016
Like Nastya IDN,16800000,7195314800,502,Entertainment,Indonesia,ID,10700.0,171300.0,36.3,4.69,270203917,151509724,2019
Gato Galactico  GAL,16800000,3693798804,1491,Film & Animation,Brazil,BR,11000.0,176500.0,51.3,12.08,212559417,183241641,2013
DeToxoMoroxo,16800000,2315962318,1,Entertainment,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2016
deepesh zo,16800000,7206462713,41,People & Blogs,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2021
Doggy Doggy Cartoons,16800000,6518418501,0,Entertainment,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2018
Salman Noman,16700000,10393037902,3,Entertainment,Other,Other,0.0,0.03,63.2,9.3,436369043,226156206,2022
CoryxKenshin,16700000,7102965621,1693,Gaming,United States,US,26300.0,420500.0,88.2,14.7,328239523,270663028,2009
With Kids,16700000,8826138204,920,Entertainment,United States,US,11400.0,182800.0,88.2,14.7,328239523,270663028,2012
Travis Scott,16700000,7979736581,13,Music,United States,US,9.0,150.0,88.2,14.7,328239523,270663028,2010
Tu COSMOPOLIS,16700000,5089284369,8741,People & Blogs,Mexico,MX,4000.0,64600.0,40.2,3.42,126014024,102626859,2014
SriBalajiMovies,16600000,9439857193,20102,Entertainment,India,IN,38500.0,616200.0,28.1,5.36,1366417754,471031528,2011
Jordan Matter,16600000,5819508534,413,Entertainment,United States,US,49800.0,796100.0,88.2,14.7,328239523,270663028,2006
Lahari Music - TSeries,16600000,11946217860,8976,Music,India,IN,22300.0,356000.0,28.1,5.36,1366417754,471031528,2011
Younes Zarou,16600000,15278668857,2200,Entertainment,Germany,DE,154300.0,2500000.0,70.2,3.04,83132799,64324835,2021
NMF News,16600000,7435180827,112261,News & Politics,India,IN,14800.0,236800.0,28.1,5.36,1366417754,471031528,2013
Werever2morro,16600000,2798273962,0,Entertainment,Mexico,MX,0.0,0.0,40.2,3.42,126014024,102626859,2010
IDEAS EN 5 MINUTOS,16600000,3696973456,216,Howto & Style,Spain,ES,16.0,262.0,88.9,13.96,47076781,37927409,2017
Ivana Alawi,16600000,1318442641,180,Other,Philippines,PH,3800.0,60300.0,35.5,2.15,108116615,50975903,2018
BBC News Hindi,16500000,7043235131,21243,News & Politics,India,IN,32800.0,524800.0,28.1,5.36,1366417754,471031528,2009
FunFun Toy Doll TV,16500000,7406207930,735,Entertainment,United States,US,6100.0,97500.0,88.2,14.7,328239523,270663028,2016
FailArmy,16500000,3037260680,438,Comedy,United States,US,28200.0,451900.0,88.2,14.7,328239523,270663028,2011
Ch7HD,16400000,9463244435,56203,Entertainment,Thailand,TH,21900.0,351000.0,49.3,0.75,69625582,35294600,2010
Alfredo Larin,16400000,14431830557,1,Entertainment,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2015
RCTI - LAYAR DRAMA INDONESIA,16400000,13478392540,1,Entertainment,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2020
GMMTV OFFICIAL,16400000,12844432341,23952,Entertainment,Thailand,TH,45300.0,725500.0,49.3,0.75,69625582,35294600,2010
UFC - Ultimate Fighting Championship,16400000,7135820721,14662,Sports,United States,US,33300.0,532800.0,88.2,14.7,328239523,270663028,2006
Kaykai Salaider,16400000,4434679706,428,Comedy,Thailand,TH,2300.0,37400.0,49.3,0.75,69625582,35294600,2011
Sandra Cires Art,16400000,3955426159,1091,Howto & Style,United States,US,4500.0,72100.0,88.2,14.7,328239523,270663028,2011
Matt Stonie,16300000,3527627264,54,Entertainment,United States,US,7.0,119.0,88.2,14.7,328239523,270663028,2010
Camila Cabello,16300000,6613422635,80,Music,United States,US,10700.0,170800.0,88.2,14.7,328239523,270663028,2015
Little Mix,16300000,7520242626,278,Music,United Kingdom,GB,9700.0,154400.0,60.0,3.85,66834405,55908316,2011
SAM SMITH,16300000,10170264839,230,Music,United Kingdom,GB,21400.0,343100.0,60.0,3.85,66834405,55908316,2012
Pitbull,16300000,12475714382,352,Music,United States,US,22000.0,352000.0,88.2,14.7,328239523,270663028,2006
Bollywood Classics,16300000,7141825267,1444,Entertainment,India,IN,37900.0,605900.0,28.1,5.36,1366417754,471031528,2011
Technoblade,16300000,1656452554,989,Gaming,United States,US,4500.0,71800.0,88.2,14.7,328239523,270663028,2013
W2S,16300000,4768370464,652,Gaming,United Kingdom,GB,770.0,12300.0,60.0,3.85,66834405,55908316,2012
Boyce Avenue,16300000,6578828147,490,Music,United States,US,7200.0,115100.0,88.2,14.7,328239523,270663028,2007
Thairath Online,16200000,14563841315,244899,News & Politics,Thailand,TH,56200.0,899000.0,49.3,0.75,69625582,35294600,2010
ExtraPolinesios,16200000,4813127504,2,People & Blogs,Other,Other,0.13,2.0,63.2,9.3,436369043,226156206,2015
AdMe,16200000,4488680903,10,Entertainment,Spain,ES,0.0,0.02,88.9,13.96,47076781,37927409,2006
XO TEAM,16200000,14784781923,189,People & Blogs,United States,US,9.0,152.0,88.2,14.7,328239523,270663028,2020
LEGO,16200000,20522339099,31889,Entertainment,Singapore,SG,29300.0,468800.0,84.8,4.11,5703569,5703569,2005
POPS Kids,16200000,9763592867,3943,Music,Vietnam,VN,64200.0,1000000.0,28.5,2.01,96462106,35332140,2014
T3ddy,16200000,2990185467,1930,Comedy,Brazil,BR,8300.0,132100.0,51.3,12.08,212559417,183241641,2012
Kids Play,16200000,8091706232,593,Entertainment,United States,US,6500.0,103600.0,88.2,14.7,328239523,270663028,2018
Jennifer Lopez,16200000,10227242833,258,Music,United States,US,15900.0,253800.0,88.2,14.7,328239523,270663028,2005
JJ Olatunji,16200000,4076692623,1294,Gaming,United Kingdom,GB,7000.0,111200.0,60.0,3.85,66834405,55908316,2011
Dyland PROS,16100000,1517638132,2805,Entertainment,Indonesia,ID,2400.0,38500.0,36.3,4.69,270203917,151509724,2015
Vlad and Niki ARA,16100000,7399296005,510,Other,United States,US,8000.0,128000.0,88.2,14.7,328239523,270663028,2019
Canal IN,16100000,2687443643,723,People & Blogs,Brazil,BR,3500.0,55200.0,51.3,12.08,212559417,183241641,2017
TWICE,16100000,5055576881,1123,Music,Other,Other,24700.0,394900.0,63.2,9.3,436369043,226156206,2016
Daily Dose Of Internet,16100000,6872702790,671,Entertainment,United States,US,100000.0,1600000.0,88.2,14.7,328239523,270663028,2015
FitDance,16100000,7126210721,41,Music,France,FR,0.2,3.0,65.6,8.43,67059887,54123364,2006
Panda Shorts,16100000,7155736006,667,Other,Sweden,SE,119600.0,1900000.0,67.0,6.48,10285453,9021165,2020
Disney Junior,16100000,15812009296,4045,Entertainment,United States,US,66800.0,1100000.0,88.2,14.7,328239523,270663028,2008
La Rosa de Guadalupe,16100000,9642146451,0,Entertainment,Mexico,MX,0.0,0.0,40.2,3.42,126014024,102626859,2008
Enes Batur,16000000,9786595271,0,Gaming,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2007
Totoy kids - Espa,16000000,5997599089,344,Film & Animation,Mexico,MX,28100.0,449600.0,40.2,3.42,126014024,102626859,2017
wifistudy,16000000,3018032423,52144,Education,India,IN,3600.0,57100.0,28.1,5.36,1366417754,471031528,2014
Antrax,16000000,3029872908,687,Gaming,Mexico,MX,1200.0,18800.0,40.2,3.42,126014024,102626859,2015
sagar kalra Shorts,16000000,6543629679,453,People & Blogs,Other,Other,18500.0,296200.0,63.2,9.3,436369043,226156206,2017
DopeLyrics,15900000,9962188084,2035,Music,United States,US,2500.0,39700.0,88.2,14.7,328239523,270663028,2016
jeffreestar,15900000,2609358468,433,Howto & Style,United States,US,502.0,8000.0,88.2,14.7,328239523,270663028,2006
Lyna,15900000,6534326412,4906,Gaming,Argentina,AR,16000.0,256300.0,90.0,9.79,44938712,41339571,2014
MK MUSIC,15900000,9198986881,5105,Music,Brazil,BR,34100.0,545600.0,51.3,12.08,212559417,183241641,2010
Unspeakable,15900000,9052367553,796,Gaming,United States,US,41200.0,659600.0,88.2,14.7,328239523,270663028,2016
Camilo,15900000,6802382479,132,Music,Colombia,CO,15000.0,239600.0,55.3,9.71,50339443,40827302,2010
Dear Sir,15800000,1349288771,633,Education,India,IN,6000.0,96200.0,28.1,5.36,1366417754,471031528,2016
Narendra Modi,15800000,3392918989,20679,News & Politics,India,IN,46500.0,743900.0,28.1,5.36,1366417754,471031528,2007
Arif muhammad,15800000,4122634467,542,People & Blogs,Indonesia,ID,18000.0,287500.0,36.3,4.69,270203917,151509724,2017
Rotten Tomatoes Trailers,15800000,13116313599,10441,Film & Animation,United States,US,6400.0,103000.0,88.2,14.7,328239523,270663028,2011
Team Films Bhojpuri,15700000,6626563508,19703,Music,India,IN,7700.0,123000.0,28.1,5.36,1366417754,471031528,2014
Prime Video India,15700000,8696631898,7090,Entertainment,United States,US,83800.0,1300000.0,88.2,14.7,328239523,270663028,2016
Zee Music Classic,15700000,5558051295,1640,Music,India,IN,21600.0,345800.0,28.1,5.36,1366417754,471031528,2014
MY FAMILY,15700000,6153495609,150,Other,Singapore,SG,235.0,3800.0,84.8,4.11,5703569,5703569,2019
DM - Desi Melodies,15700000,5914071870,79,Music,India,IN,35500.0,567400.0,28.1,5.36,1366417754,471031528,2017
Volga Video,15700000,9787697838,16874,Film & Animation,India,IN,12800.0,205300.0,28.1,5.36,1366417754,471031528,2012
Caeli YT,15600000,1511794214,483,Entertainment,Mexico,MX,0.0,0.0,40.2,3.42,126014024,102626859,2010
Kuplinov,15600000,6862529416,6623,Gaming,Other,Other,24700.0,394600.0,63.2,9.3,436369043,226156206,2012
Linus Tech Tips,15600000,7172386509,6542,Science & Technology,Canada,CA,22100.0,352900.0,68.9,5.56,36991981,30628482,2008
Juliana Baltar,15600000,3869457097,2019,Entertainment,Brazil,BR,14100.0,224900.0,51.3,12.08,212559417,183241641,2010
5-Minute Crafts FAMILY,15600000,6165757696,4245,People & Blogs,United States,US,6800.0,109500.0,88.2,14.7,328239523,270663028,2018
Mr DegrEE,15500000,12880388253,0,Science & Technology,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2016
5,15500000,4499826716,5183,Howto & Style,Egypt,EG,8200.0,131700.0,35.2,10.76,100388073,42895824,2017
Talking Tom & Friends,15500000,6396049701,417,Entertainment,United States,US,6800.0,109500.0,88.2,14.7,328239523,270663028,2010
Kashvi Adlakha,15500000,12714141740,1525,Entertainment,India,IN,34800.0,556500.0,28.1,5.36,1366417754,471031528,2017
Katakit Baby TV,15500000,6386271870,220,Music,Saudi Arabia,SA,22700.0,363700.0,68.0,5.93,34268528,28807838,2010
Henrique e Juliano,15500000,14619523361,325,Music,Brazil,BR,40900.0,654700.0,51.3,12.08,212559417,183241641,2009
Infobells Bangla,15500000,7776706184,359,Education,India,IN,42000.0,671600.0,28.1,5.36,1366417754,471031528,2016
Super Senya,15500000,5070970714,0,Entertainment,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2017
Blippi Espa,15500000,8984089026,598,People & Blogs,Mexico,MX,22500.0,360000.0,40.2,3.42,126014024,102626859,2017
Mrwhosetheboss,15400000,3736069980,1577,Science & Technology,United Kingdom,GB,41900.0,670800.0,60.0,3.85,66834405,55908316,2011
Kerajinan 5-Menit,15400000,4750420071,4186,People & Blogs,Indonesia,ID,4900.0,79000.0,36.3,4.69,270203917,151509724,2018
zayn,15400000,4909687948,21,Music,United States,US,9200.0,147200.0,88.2,14.7,328239523,270663028,2016
Genierock,15400000,14564170905,1725,Music,Thailand,TH,20700.0,331200.0,49.3,0.75,69625582,35294600,2008
Harsh Beniwal,15400000,1781226000,165,Comedy,India,IN,7000.0,111900.0,28.1,5.36,1366417754,471031528,2015
Roman Atwood Vlogs,15400000,5469103954,1756,People & Blogs,United States,US,396.0,6300.0,88.2,14.7,328239523,270663028,2013
Mobile Legends Bang Bang,15400000,1543608082,1647,Gaming,United States,US,13800.0,221500.0,88.2,14.7,328239523,270663028,2016
FFUNTV,15400000,11513738907,379,Gaming,United Arab Emirates,AE,20000.0,320700.0,36.8,2.35,9770529,8479744,2018
FC Barcelona,15300000,2656528205,10988,Sports,Spain,ES,21200.0,339500.0,88.9,13.96,47076781,37927409,2006
Dave and Ava - Nursery Rhymes and Baby Songs,15300000,10714145606,851,Education,United States,US,19300.0,308200.0,88.2,14.7,328239523,270663028,2014
LOKESH GAMER,15300000,1640078055,1397,Gaming,India,IN,1500.0,23700.0,28.1,5.36,1366417754,471031528,2017
ILYA BORZOV,15300000,9938811455,2175,People & Blogs,Russia,RU,118900.0,1900000.0,81.9,4.59,144373535,107683889,2021
Mazhavil Manorama,15300000,16545966132,87864,Entertainment,India,IN,90400.0,1400000.0,28.1,5.36,1366417754,471031528,2011
T-Series Hamaar Bhojpuri,15200000,7564652648,9862,Entertainment,India,IN,26500.0,423900.0,28.1,5.36,1366417754,471031528,2011
NDTV India,15200000,6624168155,91704,News & Politics,India,IN,12400.0,198600.0,28.1,5.36,1366417754,471031528,2008
CNN,15200000,14198154095,160405,News & Politics,United States,US,46800.0,748000.0,88.2,14.7,328239523,270663028,2005
Oyuncak Av,15200000,8333387785,654,Entertainment,Turkey,TR,1100.0,17700.0,23.9,13.49,83429615,63097818,2014
The MriDul,15200000,4503880875,106,Comedy,India,IN,24600.0,393300.0,28.1,5.36,1366417754,471031528,2015
Sony LIV,15200000,7151683497,11099,Entertainment,India,IN,52700.0,843600.0,28.1,5.36,1366417754,471031528,2014
Niana Guerrero,15200000,1491452935,443,Entertainment,Philippines,PH,2500.0,39900.0,35.5,2.15,108116615,50975903,2013
Pok,15200000,857725714,194,People & Blogs,India,IN,16300.0,261500.0,28.1,5.36,1366417754,471031528,2017
SRK MUSIC,15200000,6391679636,5056,Music,India,IN,14500.0,231200.0,28.1,5.36,1366417754,471031528,2012
Hongyu ASMR,15100000,4967784343,1,People & Blogs,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2021
AdeleVEVO,15100000,12413869881,52,Music,United Kingdom,GB,21200.0,339000.0,60.0,3.85,66834405,55908316,2009
Chapitosiki,15100000,13897932103,2717,Entertainment,Russia,RU,178400.0,2900000.0,81.9,4.59,144373535,107683889,2020
ABS-CBN News,15100000,10489367372,209520,News & Politics,Philippines,PH,45400.0,726600.0,35.5,2.15,108116615,50975903,2009
Rub,15100000,9477021288,921,Comedy,Argentina,AR,128100.0,2000000.0,90.0,9.79,44938712,41339571,2016
BIGBANG,15100000,7857371770,776,Music,South Korea,KR,10200.0,163200.0,94.3,4.15,51709098,42106719,2005
Mohamed Ramadan I,15100000,5324913850,753,People & Blogs,Egypt,EG,11500.0,184200.0,35.2,10.76,100388073,42895824,2014
EdisonPts,15100000,6668507856,3733,Gaming,Russia,RU,23900.0,382400.0,81.9,4.59,144373535,107683889,2013
Makiman131,15100000,4236036141,2997,Gaming,Spain,ES,1500.0,23900.0,88.9,13.96,47076781,37927409,2013
Mariale,15100000,2761547758,2618,Howto & Style,United States,US,3000.0,47800.0,88.2,14.7,328239523,270663028,2010
PowerfulJRE,15100000,3060202847,1037,People & Blogs,United States,US,10900.0,173600.0,88.2,14.7,328239523,270663028,2013
Ranz Kyle,15100000,1760131384,533,People & Blogs,Philippines,PH,3100.0,49500.0,35.5,2.15,108116615,50975903,2008
Musas,15100000,2400037562,159,Howto & Style,Andorra,AD,0.02,0.34,63.2,9.3,436369043,226156206,2006
Daftar Populer,15100000,2143140898,3810,Education,Indonesia,ID,4300.0,68900.0,36.3,4.69,270203917,151509724,2017
Kim Loaiza,15100000,1576633086,18,Music,Other,Other,6500.0,104200.0,63.2,9.3,436369043,226156206,2019
